iter	Passed	Remaining
229	335	1121
230	335	1117
231	336	1113
232	336	1108
233	337	1103
234	337	1098
235	338	1095
236	338	1091
237	339	1086
238	340	1083
239	341	1080
240	342	1077
241	342	1073
242	343	1069
243	344	1066
244	344	1062
245	345	1058
246	346	1054
247	346	1051
248	347	1048
249	348	1045
250	349	1041
251	349	1037
252	349	1033
253	350	1030
254	351	1027
255	352	1024
256	353	1021
257	354	1018
258	355	1016
259	355	1012
260	356	1008
261	357	1006
262	358	1003
263	358	1000
264	359	998
265	360	995
266	361	991
267	362	988
268	362	986
269	363	983
270	364	980
271	365	977
272	365	973
273	366	969
274	366	966
275	367	963
276	367	960
277	368	957
278	369	955
279	370	953
280	371	951
281	372	949
282	373	945
283	373	942
284	374	940
285	375	937
286	376	935
287	376	931
288	377	929
289	378	926
290	379	923
291	380	921
292	380	919
293	381	916
294	382	914
295	383	912
296	383	908
297	384	906
298	385	903
299	386	901
300	387	898
301	387	896
302	388	893
303	388	890
304	389	887
305	390	884
306	390	881
307	391	879
308	392	877
309	393	875
310	393	872
311	394	869
312	394	866
313	395	864
314	396	862
315	397	859
316	397	856
317	398	854
318	399	852
319	400	850
320	400	848
321	401	846
322	402	844
323	403	842
324	404	839
325	405	837
326	406	835
327	406	833
328	407	831
329	408	829
330	409	827
331	410	825
332	411	823
333	412	822
334	412	819
335	413	817
336	414	815
337	414	812
338	415	810
339	416	808
340	417	806
341	418	804
342	418	802
343	419	800
344	420	798
345	421	796
346	421	794
347	422	792
348	423	790
349	424	788
350	425	786
351	426	784
352	426	782
353	427	780
354	428	778
355	429	776
356	430	775
357	431	773
358	432	771
359	432	769
360	433	767
361	434	765
362	435	764
363	436	762
364	437	760
365	438	758
366	438	757
367	439	755
368	440	753
369	441	751
370	442	749
371	443	748
372	443	746
373	444	744
374	445	742
375	446	741
376	447	739
377	448	737
378	449	736
379	450	734
380	450	732
381	451	731
382	452	729
383	453	727
384	454	726
385	455	724
386	456	723
387	457	721
388	458	719
389	459	717
390	459	716
391	460	714
392	461	712
393	462	711
394	463	709
395	464	707
396	464	706
397	465	704
398	466	702
399	467	701
400	468	699
401	469	697
402	469	696
403	470	694
404	471	693
405	472	691
406	473	689
407	474	688
408	475	686
409	476	684
410	476	683
411	477	682
412	478	680
413	479	678
414	480	677
415	481	675
416	482	674
417	483	672
418	483	671
419	484	669
420	485	668
421	486	666
422	487	665
423	488	663
424	489	662
425	490	660
426	491	659
427	492	657
428	492	656
429	493	654
430	494	652
431	495	651
432	496	649
433	496	647
434	497	646
435	498	644
436	499	643
437	500	641
438	501	640
439	501	638
440	502	637
441	503	636
442	504	634
443	505	632
444	506	631
445	507	629
446	508	628
447	508	626
448	509	625
449	510	624
450	511	622
451	512	621
452	513	619
453	513	618
454	514	616
455	515	615
456	516	613
457	517	612
458	518	610
459	519	609
460	519	607
461	520	606
462	521	604
463	522	603
464	523	601
465	523	600
466	524	598
467	525	597
468	526	596
469	527	594
470	528	593
471	528	591
472	529	590
473	530	589
474	531	587
475	532	586
476	533	584
477	534	583
478	535	581
479	535	580
480	537	579
481	537	577
482	538	576
483	539	575
484	540	573
485	541	572
486	541	570
